Region,Sq. Km
TITILA,584.8
MADOGO,"1,986.70"
ARERI,"1,017.00"
TULA,"1,017.00"
MADOGO,111.2
MADOGO,18.7
MARAMTU,92.5
MORORO,18.1
MORORO,0.5
ZIWANI,17.6
SAKA,509.5
KONORAMADHA,71.1
MULANJO,438.4
SALA,330.9
SALA,35.1
SOMBO,295.8
MBALAMBALA,"1,324.50"
BUWA,"1,128.90"
BUWA,299.8
KORATI,829.2
MBALAMBALA,195.5
ASAKO,176.7
PAMBA,18.8
BANGALE,"4,725.70"
BANGALE,"2,196.60"
BANGALE,"1,887.40"
KURITI,309.2
BOKA,"1,955.50"
BOKA,"1,955.50"
KAMAGURU,573.6
EL RAR,16.5
KAMAGURU,464.8
ODOWAN,92.3
TANA RIVER,"9,167.10"
GALOLE,"8,446.40"
CHEWANI,22.1
CHEWANI,20.6
HOLA MISSION,1.5
CHIFIRI,674.4
CHIFIRI,616.5
HAKOKA,57.9
DABA,"1,836.60"
DABA,"1,836.60"
DAYATE,340.6
DAYATE,36.6
GURURI,304.1
HARORESA,414.9
HARORESA,414.9
KALKACHA,732.3
CHAMARI,644.8
KALKACHA,87.5
KIARKUNGU,65.8
KIARKUNGU,27
MATANYA,38.8
LAKOLE,"1,355.30"
KESI,"1,355.30"
MAKERE,107
BUBU,86.5
GHOREI,20.5
MASABUBU,99.5
MASABUBU,42.4
RHOKA,57.1
MIKINDUNI,67.8
LENDA,46.4
MIKINDUNI,21.4
MILALULU,78.8
BOHONI,38.1
LAINI,40.8
TITILA,868.6
TITILA,868.6
WALDENA,978.4
WALDENA,978.4
WAYU,792.7
KOTICHA,266.3
WAYU,526.4
ZUBAKI,11.7
HOLA,1.7
KASARANI,6.9
KIBUYU,3.2
WENJE,720.7
GWANO,429
HARA,324.8
MARONI,33.8
WENJE,70.4
JAMHURI,60.1
BUBUBU,60.1
KINAKOMBA,145
MAJENGO,70.1
MASALANI,74.8
MAZUNI,52
GAFURU,32.7
MAZUNI,6.1
MKOMANI,13.2
NDURA,34.6
BONDENI,9.3
HANDAMPIA,25.2
LAMU,"6,283.00"
LAMU EAST,"2,338.50"
BASUBA,"1,505.00"
BASUBA,"1,271.30"
KIANGWE,270.4
MARARANI,387.3
MILIMANI,613.6
MANGAI,233.7
MANGAI,233.7
FAZA,76.8
FAZA,33.7
KWATINI,33.5
KWATONGANI,0.1
PATTE,13.9
PATE,13.9
SIYU,25.2
SHANGA,8.1
SIYU,17.1
TCHUNDWA,4
TCHUNDWA,4
KIUNGA,721.8
KIUNGA,721.8
MKOKONI,623.6
RUBU/MWAMBORE,98.2
KIZINGITINI,34.9
KIZINGITINI,5.8
KIZINGITINI,5.8
MBWAJUMWALI,7.9
MYABOGI,7.9
NDAU,21.2
KIWAYUU,5.1
NDAU,16.1
LAMU WEST,"3,944.60"
AMU,99.5
LANGONI,11.5
LANGONI,11.5
MATONDONI,31.6
KIPUNGANI,11.9
MATONDONI,19.7
MKOMANI,3.5
MKOMANI,3.5
SHELA/MANDA,52.9
MANDA,38
SHELLA,14.9
HINDI,"1,149.20"
HINDI / MAGOGONI,"1,073.70"
BARGONI,584.6
BODHEI JUNCTION,79.9
HINDI,409.1
MOKOWE,75.6
KILIMANI,32.2
MOKOWE,43.3
MKUNUMBI,691.4
MAJEMBENI,166.6
MAJEMBENI,57.2
MAVUNO,109.4
MKUNUMBI,496.7
KORENI,40.7
MKUNUMBI,456
NDAMBWE,28.1
KIZUKE,8.9
NDAMBWE,19.2
MPEKETONI,335.5
BAHARINI,118.4
BAHARI,56.5
TEWE,61.8
HONGWE,136.5
BOMANI,87.7
HONGWE,48.7
MAPENYA,34.9
MAPENYA,14.1
UZIWA,20.9
MPEKETONI,45.7
CENTRAL,29.4
KIONGWE,16.3
WITU,"1,669.00"
DIDEWARIDE,669.7
CHALALUMA,32.4
MOA,637.3
PANDANGUO,772.4
JIMA,131.3
PANDANGUO,641.1
WITU,226.9
SENDEMKE,141.2
SOROKO,60
WITU,25.6
TAITA/TAVETA,"17,152.00"
MWATATE,"2,722.60"
MWAMBIRWA,95.9
RONGE,70.8
KIGHOMBO/MARUMBENYI,25.8
MSAURAHAI,6.7
RONGENYIKA,38.3
RONGEJUU,25.1
KIRONGE/MWAKALERI,10.1
KISHAU/KIWETO,11
NDEMBONYI/BAGHAU,4
MWATATE,"2,626.70"
BURA,57.2
ILOLE,3.3
MNAMU,10
MRUGHUA,8.1
NYOLO,31.9
SAGHAIGHU,3.9
CHAWIA,18.4
CHAWIA,6.6
WUSI,11.8
KIDAYANGERENYI,7.1
KIDAYA,2.1
MACHAKISAGHALA,2.4
NGERENYI,2.7
KISHAMBA,21.1
KAYA ILOLE,8.3
KISHAMBA,5
MWACHAWAZA,7.9
MENGO,39.8
MENGO,39.8
MWACHABO,"1,835.10"
MRURU/MANGANGA,5.6
MWACHABO,"1,523.50"
WUMARISECHU,306
MWAKITAU,300.9
GODOMA,46.6
MLUGHIMWASHUMA,17.4
MWAKITAU,236.8
MWATATE,347.2
MODAMBOGHO,99.2
MWATATE,9.3
SEMBE,238.7
TAITA,477.9
WUNDANYI,477.9
KISHUSHE,248.1
KISHUSHE,179.5
PARANGA,68.6
MBALE,25.4
CHOKE,6.7
MBALE CENTRAL,4.7
MLECHI,10.9
MOGHO,3.1
WERUGHA,31.5
MARUMANGE,1.6
MLONDO,2.9
SAGHASA,21.1
WERUGHA,6
WUMINGU,41.3
MGHAMBONYI,7.3
MWARUNGU,6.7
NYACHE,18.8
WUMINGU,8.6
WUNDANYI,21.1
MTENI,2.3
SHIGHARO,7.8
SUNGULULU,3.3
WUNDANYI,7.7
MGANGE,32
LUSHANGONYI,3.4
MGANGE DAWIDA,7.1
MGANGE NYIKA,4.5
MWAROKO,17
MWANDA,78.4
KISHAMBA,60.8
NJAWULI,17.6
TAVETA,"6,398.70"
BOMENI,223.4
KIMORIGO,91.3
ELDORO,28.9
KIMORIGO,62.4
KITOBO,76.3
KITOBO,33
MRABANI,43.3
MAHOO,18.2
MAHOO,2.3
MALUKILORITI,16
MBOGHONI,15.8
MBOGHONI,8.6
NJORO,7.2
NGARIGHASHI,21.8
LESESIA,10.8
MJINI,10.9
CHALA,254.8
CHALA,143.8
CHALA,124.5
MAHANDAKINI,19.3
NAKRUTO,35.1
KIDONGU,12.7
NAKRUTO,22.4
NJUKINI,76
CHUMVINI,14.8
LUMI,42.3
NJUKINI,18.9
JIPE,218.8
KIMALA,23.3
KIMALA,8
REKEKE,15.3
MATA,174.5
KACHERO,96.6
MATA,77.9
TIMBILA,21
MSENGONI,6
NDILIDAU,15
TSAVO WEST NATIONAL PARK,"5,701.70"
TSAVO WEST NATIONAL PARK,"5,701.70"
TSAVO WEST NATIONAL PARK,"5,701.70"
VOI,"7,552.80"
NYANGALA,"2,601.00"
KASIGAU,"1,809.50"
BUGUTA,125.4
MAKWASINYI,753.3
RUKANGA,930.8
MARUNGU,791.6
MIASENYI,291.6
MAUNGU,500
TAUSA,330.8
MBOLOLO,105.6
MRARU,59.4
TAUSA,46.2
NGOLIA,225.2
GHAZI,127.6
NDOME,79.9
WONGONYI,17.6
VOI,389
SAGALLA,293
KISHAMBA,76.9
NDARA,56.6
TALIO,84.4
TERI,75.1
VOI,96
KALOLENI,64.3
MWANGEA,31.7
TSAVO EAST NATIONAL PARK,"4,232.00"
TSAVO EAST NATIONAL PARK,"4,232.00"
TSAVO EAST NATIONAL PARK,"4,232.00"
GARISSA,"44,753.20"
BALAMBALA,"3,684.10"
BALAMBALA,"1,702.40"
BALAMBALA,31.3
BALAMBALA,20
BURADANSA,11.2
DUJIS,633.2
DUJIS,223.9
SHIDLE,409.3
JARAJARA,111.6
JARAJARA,63
KONE,48.6
OHIO,926.3
ABDIGAB,297.3
ASHADIN,475.9
OHIO,153.1
DANYERE,"1,301.70"
DANYERE,507.6
DANYERE,27.3
URGAAD,480.3
LIBAHLOW,684.4
DOGOB,476.4
LIBAHLOW,208
MUDEY,109.7
MUDEY,109.7
SAKA,680
DALEY,80.8
DALEY,80.8
KASHA,107.9
DABELEY,67.1
KASHA,40.8
KUNO,26.2
KUNO,26.2
SAKA,465
HADLEY,79.6
SAKA,137.1
SAKA JUNCTION,248.3
DADAAB,"6,415.30"
DADAAB,"2,869.00"
ABAKAILE,880.6
ABAKAILE,880.6
ALANGO ARBA,409.3
ALANGO ARBA,409.3
ALIKUNE,412
ALIKUNE,412
DADAAB,484.9
DADAAB,484.9
DAGAHALEY,137.8
DAGAHALEY,137.8
KUMAHUMATO,226.6
KUMAHUMATO,226.6
LABISIGALE,166.1
LABISIGALE,85
WELHAR,81.1
MATHAGIS,151.7
MATHAGIS,151.7
DERTU,655.2
DERTU,655.2
DERTU,655.2
LIBOI,"2,891.10"
DAMAJALE,"2,123.40"
DAMAJALE,"1,166.60"
KOKAR,956.8
KULAN,187.8
KULAN,187.8
LIBOI,579.9
HARHAR,145.4
LIBOI,434.5
FAFI,"15,050.30"
BURA,"5,134.90"
BURA,"1,853.90"
BURA,832.6
JAMBELE,"1,021.30"
GUYO,50.1
GUYO,50.1
KAMUTHE,951.3
KAMUTHE,534.9
WARABLE,416.4
MANSABUBU,"1,326.80"
GARASWEINO,675.7
MANSABUBU,651.1
NANIGHI,952.9
ABAQDERA,90.9
NANIGHI,862
GALMAGALA,"2,129.40"
BULLA GOLOL,"1,088.00"
BULLA GOLOL,144.2
HAJIJIMAY,943.8
GALMAGALA,852
DOI,20.8
GALMAGALA,154.4
MARERKADER,676.7
GUBIS,189.4
DEKAHARJA,26.4
GUBIS,162.9
JARAJILA,"7,786.00"
ALINJUGUR,151.1
ALINJUGUR,151.1
AMUMA,774.8
AMUMA,774.8
FAFI,"3,213.00"
FAFI,"3,213.00"
HAGADERA,597.1
HAGADERA,597.1
RUQA,"2,182.60"
RUQA,"2,182.60"
WEL MERER,383.9
WEL MERER,383.9
YUMBIS,483.4
YUMBIS,483.4
GARISSA,"3,317.80"
CENTRAL,642
GALBET,8.6
GALBET,8.6
IFTIN EAST,6.2
IFTIN EAST,6.2
IFTIN WEST,5.8
IFTIN WEST,5.8
MADINA,45.5
MADINA EAST,25.6
MADINA WEST,19.9
MODIKA,512
MODIKA,512
TOWNSHIP,2.3
TOWNSHIP,2.3
WABERI EAST,57.3
WABERI EAST,57.3
WABERI WEST,4.2
TAWAKAL,0.9
WABERI WEST,3.3
KORAKORA,619.6
BOURALGY,183.8
BOURALGY,183.8
JARRIOT,38.6
JARRIOT,38.6
KORAKORA,397.2
ELDERT,317.2
KORAKORA,80
SANKURI,"2,056.30"
ABDISAMIT,"1,332.80"
ABDISAMIT,243.1
LAAGO,595.2
OWLIYA,494.5
RAYA,93.2
ATHEYLEY,20
RAYA,73.3
SANKURI,394.9
BALICH,30.3
DOLOLO,52.5
SANKURI,52.7
SHABAH,6.9
SHITLE,252.6
SHIMBIREY,235.3
SHIMBIREY,235.3
HULUGHO,"7,736.60"
BODHAI,"1,432.50"
BODHAI,760.9
BODHAI,387.4
DOLOLO,373.4
JALISH,671.6
BULTOHAMA,210.5
FALAMA,271.4
JALISH,189.7
HULUGHO,"4,073.70"
BOMA,836.2
BOMA,836.2
ELKAMBERE,506.2
ELKAMBERE,171.5
KURDE,254.6
SARIRA,80.2
GARABEY,125.7
GARABEY,66
SINAI,59.6
GESIREB,31.4
GESIREB,31.4
HADI,"1,479.20"
HADI,764.2
IRE,715
HULUGHO,10.3
HULUGHO,10.3
JILOMATA,63
JILOMATA,63
KORAN HINDI,160.3
DOI,31.4
KORAN HINDI,128.9
MUFTU,33.1
MUFTU,33.1
TUMTISH,141.5
TUMTISH,141.5
WARDEIJAB,686.8
WARDEIJAB,686.8
SANGAILU,"2,230.30"
EGE,443.7
EGE,443.7
GEDILUN,384.4
GEDILUN,384.4
HANDARO,499.6
HANDARO,251.5
SABENAL,248.1
MARE,562.4
MARE,562.4
SANGAILU,247.1
MATAARBA,236
SANGAILU,11.1
WAKAB-HAREY,93.1
WAKAB-HAREY,93.1
IJARA,"2,452.80"
IJARA,390.9
BULA GOLOL,48.7
BULA GOLOL,48.7
IJARA,128.9
IJARA,12.2
WARDEGOGA,116.7
SANGOLE,213.3
BULLA WACHA,74.5
SANGOLE,138.8
KOTILLE,242.7
ABALATIRO,22.1
ABALATIRO,22.1
KORISA,157.9
KORISA,157.9
KOTILLE,62.8
BULA WARIDE,12.4
KOTILLE,50.4
MASALANI,"1,121.80"
GABABA,412.6
ABDI GURE,101.5
GABABA,311.1
GUMAREY,86.9
GUMAREY,86.9
HARA,452.4
HARA,77
QARMADHA,198.1
RAHMA,177.3
M. DAHIR,144.1
M. DAHIR,144.1
MASALANI,8.6
MASALANI,8.6
TORABORA,17.2
BULA HAJI,17.2
RUQA,697.4
GERILLE,103.9
GERILLE,103.9
RUQA,166.8
RUQA,166.8
WARSAME,426.8
WARSAME,426.8
LAGDERA,"6,096.20"
BENANE,671.6
BENANE,135.4
BENANE,48.3
HAGARJERER,87
ELDERE,315.5
ALI SAGAR,214.1
BULLO,25.6
ELDERE,75.8
TOKOJO,220.7
TOKOJO,220.7
MODOGASHE,"2,683.40"
BARKUKE,51.3
GARSE,51.3
ILAN,463.8
ILAN,463.8
MAALIMIN,"1,288.80"
DIHILE,986.2
MAALIMIN,117.8
WAYAMAJIBRIL,184.8
MODOGASHE,879.5
JANJU,134.2
JILANGO,325.4
MODOGASHE,419.9
SHANT ABAQ,"2,741.30"
AFWEIN,"1,422.40"
AFWEIN,"1,422.40"
BARAKI,336.5
BARAKI,336.5
GOREAL,385.2
GOREAL,385.2
GURUFA,517.2
CHERON,255.1
GURUFA,262.1
SHANT ABAK,80
SHANT ABAK,80
WAJIR,"56,773.80"
BUNA,"3,887.50"
BUNA,"2,600.50"
BATALU,173.3
BASNECHA,11.3
BATALU,129.1
KUROW,32.9
BUTE WAYAMA,535.9
BUTE WAYAMA,29.9
SALA,506
BOJI,355.5
BOJI,355.5
BUNA,407.3
BERAMO,31.2
BUNA,9.9
FUNANBUA,13.1
GARSEAKE,353.1
EL-BORUIDO,443.6
EL-BORUIDO,443.6
INGIRIR,375.7
INGIRIR,323.1
JIBDER,52.6
MALKAGUFU,229.6
FULO,51.4
